UDISE,College Name,College Type,Stream,Status,Medium,Reservation,Caste,Marks,Percentage,Cap Round No,City Name
27230100337,"SHARADASHRAM VIDYAMANDIR SECONDARY SCHOOL AND JR. COLLEGE OF COMMERCE, DADAR 400 028",Co-Ed,Commerce,Aided,English,Women (30%),SC,229.0,45.800000000000004,CAP-1,Mumbai
27230100337,"SHARADASHRAM VIDYAMANDIR SECONDARY SCHOOL AND JR. COLLEGE OF COMMERCE, DADAR 400 028",Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,213.0,42.6,CAP-1,Mumbai
27230100345,DR.ANTONIO DA SILVA HIGH SCHOOL,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,397.0,79.4,CAP-1,Mumbai
27230100348,MAHARASHTRA HIGH SCHOOL NO.2,Co-Ed,Commerce,Aided,English,Women (30%),SC,276.0,55.2,CAP-1,Mumbai
27230100348,MAHARASHTRA HIGH SCHOOL NO.2,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,273.0,54.6,CAP-1,Mumbai
27230100372,"LOKAMANYA VIDYAMANDIR, MAHIM",Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,195.0,39.0,CAP-1,Mumbai
27230100388,DADAR VIDYA MANDIR,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,229.0,45.800000000000004,CAP-1,Mumbai
27230100394,"SNEHALATA RANE  HIGH SCHOOL AND JR. COLLEGE, DADAR ,MUMBAI",Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,436.0,87.2,CAP-1,Mumbai
27230100523,ANJUMAN-I-ISLAM ALLANA ENGLISH HIGH SCHOOL,Co-Ed,Commerce,Self Financed,English,Divyang (4%),SC,389.0,77.8,CAP-1,Mumbai
27230100529,BAI KABIBAI ENGLISH SCHOOL & JR. COLLEGE,Co-Ed,Commerce,Un-Aided,English,Divyang (4%),SC,383.0,76.6,CAP-1,Mumbai
27230100540,KISHINCHAND CHELLARAM COLLEGE (K. C. COLLEGE),Co-Ed,Arts,Aided,English,Divyang (4%),SC,327.0,65.4,CAP-1,Mumbai
27230100540,KISHINCHAND CHELLARAM COLLEGE (K. C. COLLEGE),Co-Ed,Commerce,Un-Aided,English,Divyang (4%),SC,278.0,55.60000000000001,CAP-1,Mumbai
27230100540,KISHINCHAND CHELLARAM COLLEGE (K. C. COLLEGE),Co-Ed,Commerce,Aided,English,Divyang (4%),SC,326.0,65.2,CAP-1,Mumbai
27230100540,KISHINCHAND CHELLARAM COLLEGE (K. C. COLLEGE),Co-Ed,Science,Aided,English,Divyang (4%),SC,388.0,77.60000000000001,CAP-1,Mumbai
27230100541,H. R. COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,327.0,65.4,CAP-1,Mumbai
27230100543,S.N.D.T.COLLEGE OF ARTS & SCB COLLEGE OF COMM. & SCI. FOR WOMEN,Girls,Arts,Aided,English,Remaining seats (Pure),SC,184.0,36.8,CAP-1,Mumbai
27230100543,S.N.D.T.COLLEGE OF ARTS & SCB COLLEGE OF COMM. & SCI. FOR WOMEN,Girls,Arts,Aided,English,Divyang (4%),SC,342.0,68.4,CAP-1,Mumbai
27230100543,S.N.D.T.COLLEGE OF ARTS & SCB COLLEGE OF COMM. & SCI. FOR WOMEN,Girls,Commerce,Aided,English,Remaining seats (Pure),SC,205.0,41.0,CAP-1,Mumbai
27230100543,S.N.D.T.COLLEGE OF ARTS & SCB COLLEGE OF COMM. & SCI. FOR WOMEN,Girls,Commerce,Aided,English,Divyang (4%),SC,314.0,62.8,CAP-1,Mumbai
27230100544,SIDDHARTH COLLEGE OF COMM. & ECO.,Co-Ed,Commerce,Aided,English,Women (30%),SC,189.0,37.8,CAP-1,Mumbai
27230100544,SIDDHARTH COLLEGE OF COMM. & ECO.,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,179.0,35.8,CAP-1,Mumbai
27230100544,SIDDHARTH COLLEGE OF COMM. & ECO.,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,232.0,46.400000000000006,CAP-1,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Arts,Aided,English,Women (30%),SC,262.0,52.400000000000006,CAP-1,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Arts,Aided,English,Remaining seats (Pure),SC,240.0,48.0,CAP-1,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Commerce,Aided,English,Women (30%),SC,289.0,57.8,CAP-1,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,264.0,52.800000000000004,CAP-1,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Science,Aided,English,Women (30%),SC,360.0,72.0,CAP-1,Mumbai
27230100545,"SIDDHARTH COLLEGE OF ARTS,SCIENCE & COMM.",Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,348.0,69.6,CAP-1,Mumbai
27230100546,ST.XAVIER'S COLLEGE FORT,Co-Ed,Arts,Aided,English,Divyang (4%),SC,398.0,79.60000000000001,CAP-1,Mumbai
27230100546,ST.XAVIER'S COLLEGE FORT,Co-Ed,Commerce,Self Financed,English,Divyang (4%),SC,362.0,72.39999999999999,CAP-1,Mumbai
27230100546,ST.XAVIER'S COLLEGE FORT,Co-Ed,Science,Aided,English,Divyang (4%),SC,330.0,66.0,CAP-1,Mumbai
27230100547,SYDENHAM COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Government / Local Body,English,Women (30%),SC,420.0,84.0,CAP-1,Mumbai
27230100547,SYDENHAM COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Government / Local Body,English,Trf./Ex.Sr./Ser/Sports (5%),SC,338.0,67.60000000000001,CAP-1,Mumbai
27230100547,SYDENHAM COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Government / Local Body,English,Remaining seats (Pure),SC,406.0,81.2,CAP-1,Mumbai
27230100547,SYDENHAM COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Government / Local Body,English,Divyang (4%),SC,321.0,64.2,CAP-1,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Arts,Government / Local Body,English,Women (30%),SC,392.0,78.4,CAP-1,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Arts,Government / Local Body,English,Remaining seats (Pure),SC,335.0,67.0,CAP-1,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Arts,Government / Local Body,English,Divyang (4%),SC,385.0,77.0,CAP-1,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Commerce,Government / Local Body,English,Women (30%),SC,386.0,77.2,CAP-1,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Commerce,Government / Local Body,English,Trf./Ex.Sr./Ser/Sports (5%),SC,268.0,53.6,CAP-1,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Commerce,Government / Local Body,English,Remaining seats (Pure),SC,377.0,75.4,CAP-1,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Commerce,Government / Local Body,English,Divyang (4%),SC,352.0,70.39999999999999,CAP-1,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Science,Government / Local Body,English,Women (30%),SC,409.0,81.8,CAP-1,Mumbai
27230100548,ELPHINSTONE COLLEGE,Co-Ed,Science,Government / Local Body,English,Remaining seats (Pure),SC,399.0,79.80000000000001,CAP-1,Mumbai
27230100549,JAI HIND COLLEGE,Co-Ed,Arts,Aided,English,Divyang (4%),SC,392.0,78.4,CAP-1,Mumbai
27230100549,JAI HIND COLLEGE,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,402.0,80.4,CAP-1,Mumbai
27230100549,JAI HIND COLLEGE,Co-Ed,Science,Aided,English,Divyang (4%),SC,380.0,76.0,CAP-1,Mumbai
27230100633,SAFA HIGH SCHOOL AND  JR. COLLEGE,Co-Ed,Arts,Self Financed,English,Divyang (4%),SC,336.0,67.2,CAP-1,Mumbai
27230100633,SAFA HIGH SCHOOL AND  JR. COLLEGE,Co-Ed,Commerce,Self Financed,English,Divyang (4%),SC,312.0,62.4,CAP-1,Mumbai
27230100930,BHAUSAHEB HIRAY VIDYALAYA,Co-Ed,Commerce,Aided,English,Women (30%),SC,246.0,49.2,CAP-1,Mumbai
27230100930,BHAUSAHEB HIRAY VIDYALAYA,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,216.0,43.2,CAP-1,Mumbai
27230100961,WILSON COLLEGE,Co-Ed,Arts,Aided,English,Divyang (4%),SC,369.0,73.8,CAP-1,Mumbai
27230100961,WILSON COLLEGE,Co-Ed,Commerce,Self Financed,English,Divyang (4%),SC,409.0,81.8,CAP-1,Mumbai
27230100962,LALA LAJPAT RAI COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Self Financed,English,Divyang (4%),SC,349.0,69.8,CAP-1,Mumbai
27230100962,LALA LAJPAT RAI COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,325.0,65.0,CAP-1,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Arts,Aided,English,Women (30%),SC,327.0,65.4,CAP-1,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Arts,Aided,English,Remaining seats (Pure),SC,302.0,60.4,CAP-1,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Commerce,Aided,English,Women (30%),SC,363.0,72.6,CAP-1,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Commerce,Aided,English,Trf./Ex.Sr./Ser/Sports (5%),SC,296.0,59.199999999999996,CAP-1,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,350.0,70.0,CAP-1,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Commerce,Aided,English,Divyang (4%),SC,346.0,69.19999999999999,CAP-1,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Science,Aided,English,Women (30%),SC,388.0,77.60000000000001,CAP-1,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,366.0,73.2,CAP-1,Mumbai
27230100963,BHARATIYA VIDYA BHAVAN'S H. S. COLLEGE OF ARTS & SCIENCE (BHAVANS COLLEGE),Co-Ed,Science,Aided,English,Divyang (4%),SC,392.0,78.4,CAP-1,Mumbai
27230100964,K. P. B. HINDUJA COLLEGE OF COMMERCE,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,304.0,60.8,CAP-1,Mumbai
27230100967,BHARAT EDUCATION SOCIETY'S SANT GADGE MAHARAJ COLLEGE OF COMMERCE & ECONOMICS,Co-Ed,Commerce,Aided,English,Women (30%),SC,216.0,43.2,CAP-1,Mumbai
27230100968,SOPHIA COLLEGE,Co-Ed,Arts,Aided,English,Divyang (4%),SC,368.0,73.6,CAP-1,Mumbai
27230100972,"NAVNEET JUNIOR COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Arts,Un-Aided,English,Remaining seats (Pure),SC,175.0,35.0,CAP-1,Mumbai
27230100972,"NAVNEET JUNIOR COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Commerce,Un-Aided,English,Women (30%),SC,250.0,50.0,CAP-1,Mumbai
27230100972,"NAVNEET JUNIOR COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Commerce,Un-Aided,English,Remaining seats (Pure),SC,272.0,54.400000000000006,CAP-1,Mumbai
27230100972,"NAVNEET JUNIOR COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Science,Un-Aided,English,Women (30%),SC,417.0,83.39999999999999,CAP-1,Mumbai
27230100972,"NAVNEET JUNIOR COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Science,Un-Aided,English,Remaining seats (Pure),SC,304.0,60.8,CAP-1,Mumbai
27230100972,"NAVNEET JUNIOR COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Science,Un-Aided,English,Divyang (4%),SC,443.0,88.6,CAP-1,Mumbai
27230101039,BHAVANI SHANKAR RD.JR.COLLEGE OF SCIENCE,Co-Ed,Science,Self Financed,English,Women (30%),SC,273.0,54.6,CAP-1,Mumbai
27230101039,BHAVANI SHANKAR RD.JR.COLLEGE OF SCIENCE,Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,365.0,73.0,CAP-1,Mumbai
27230101027,SHARADASHRAM VIDYAMANDIR TANTRIK VIDYALAYA & JUNIOR COLLEGE OF SCIENCE - VOCATIONAL & HSC - VOCATION,Co-Ed,Science,Aided,English,Women (30%),SC,264.0,52.800000000000004,CAP-1,Mumbai
27230101027,SHARADASHRAM VIDYAMANDIR TANTRIK VIDYALAYA & JUNIOR COLLEGE OF SCIENCE - VOCATIONAL & HSC - VOCATION,Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,218.0,43.6,CAP-1,Mumbai
27230101038,"PACE JUNIOR SCIENCE COLLEGE, DADAR",Co-Ed,Science,Self Financed,English,Women (30%),SC,265.0,53.0,CAP-1,Mumbai
27230101038,"PACE JUNIOR SCIENCE COLLEGE, DADAR",Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,293.0,58.599999999999994,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Arts,Aided,English,Women (30%),SC,280.0,56.00000000000001,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Arts,Aided,English,Remaining seats (Pure),SC,276.0,55.2,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Arts,Aided,English,Divyang (4%),SC,336.0,67.2,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Commerce,Un-Aided,English,Women (30%),SC,370.0,74.0,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Commerce,Un-Aided,English,Remaining seats (Pure),SC,344.0,68.8,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Commerce,Un-Aided,English,Divyang (4%),SC,393.0,78.60000000000001,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Commerce,Aided,English,Women (30%),SC,364.0,72.8,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Commerce,Aided,English,Trf./Ex.Sr./Ser/Sports (5%),SC,320.0,64.0,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,348.0,69.6,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Commerce,Aided,English,Divyang (4%),SC,348.0,69.6,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Science,Aided,English,Women (30%),SC,386.0,77.2,CAP-1,Mumbai
27230101040,"D. E. SOCIET'S  KIRTI M. DOONGURSEE COLLEGE OF ARTS, SCIENCE & COMMERCE (AUTONOMOUS)",Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,373.0,74.6,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Arts,Aided,English,Women (30%),SC,385.0,77.0,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Arts,Aided,English,Remaining seats (Pure),SC,364.0,72.8,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Arts,Aided,English,Divyang (4%),SC,322.0,64.4,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Commerce,Aided,English,Women (30%),SC,427.0,85.39999999999999,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Commerce,Aided,English,Trf./Ex.Sr./Ser/Sports (5%),SC,386.0,77.2,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,415.0,83.0,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Commerce,Aided,English,Divyang (4%),SC,339.0,67.80000000000001,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Science,Aided,English,Women (30%),SC,433.0,86.6,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Science,Aided,English,Trf./Ex.Sr./Ser/Sports (5%),SC,326.0,65.2,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,428.0,85.6,CAP-1,Mumbai
27230101041,"D.G.RUPAREL COLLEGE OF ARTS,SCI & COMM.",Co-Ed,Science,Aided,English,Divyang (4%),SC,373.0,74.6,CAP-1,Mumbai
27230101049,PIONEER JUNIOR COLLEGE OF SCIENCE,Co-Ed,Science,Self Financed,English,Women (30%),SC,371.0,74.2,CAP-1,Mumbai
27230101049,PIONEER JUNIOR COLLEGE OF SCIENCE,Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,377.0,75.4,CAP-1,Mumbai
27230200148,BURHANI COLLEGE OF COMM.& ARTS,Co-Ed,Arts,Aided,English,Divyang (4%),SC,353.0,70.6,CAP-1,Mumbai
27230200148,BURHANI COLLEGE OF COMM.& ARTS,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,325.0,65.0,CAP-1,Mumbai
27230200149,"MAHARASHTRA COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Arts,Aided,English,Divyang (4%),SC,312.0,62.4,CAP-1,Mumbai
27230200149,"MAHARASHTRA COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Commerce,Aided,English,Divyang (4%),SC,324.0,64.8,CAP-1,Mumbai
27230200149,"MAHARASHTRA COLLEGE OF ARTS, SCIENCE & COMMERCE",Co-Ed,Science,Aided,English,Divyang (4%),SC,314.0,62.8,CAP-1,Mumbai
27230200213,K. M. S. DR. SHIRODKAR HIGH SCHOOL AND JUNIOR COLLEGE,Co-Ed,Commerce,Aided,English,Women (30%),SC,216.0,43.2,CAP-1,Mumbai
27230200213,K. M. S. DR. SHIRODKAR HIGH SCHOOL AND JUNIOR COLLEGE,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,249.0,49.8,CAP-1,Mumbai
27230200213,K. M. S. DR. SHIRODKAR HIGH SCHOOL AND JUNIOR COLLEGE,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,291.0,58.199999999999996,CAP-1,Mumbai
27230200213,K. M. S. DR. SHIRODKAR HIGH SCHOOL AND JUNIOR COLLEGE,Co-Ed,Science,Aided,English,Women (30%),SC,290.0,57.99999999999999,CAP-1,Mumbai
27230200213,K. M. S. DR. SHIRODKAR HIGH SCHOOL AND JUNIOR COLLEGE,Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,212.0,42.4,CAP-1,Mumbai
27230200215,R.M.BHATT HIGH SCHOOL,Co-Ed,Arts,Aided,English,Women (30%),SC,199.0,39.800000000000004,CAP-1,Mumbai
27230200215,R.M.BHATT HIGH SCHOOL,Co-Ed,Arts,Aided,English,Remaining seats (Pure),SC,205.0,41.0,CAP-1,Mumbai
27230200215,R.M.BHATT HIGH SCHOOL,Co-Ed,Commerce,Aided,English,Women (30%),SC,242.0,48.4,CAP-1,Mumbai
27230200215,R.M.BHATT HIGH SCHOOL,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,211.0,42.199999999999996,CAP-1,Mumbai
27230200215,R.M.BHATT HIGH SCHOOL,Co-Ed,Science,Aided,English,Women (30%),SC,305.0,61.0,CAP-1,Mumbai
27230200215,R.M.BHATT HIGH SCHOOL,Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,283.0,56.599999999999994,CAP-1,Mumbai
27230200216,SOCIAL SERVICE LEAGUE HIGH SCHOOL & JUNIOR COLLEGE,Co-Ed,Arts,Aided,English,Women (30%),SC,246.0,49.2,CAP-1,Mumbai
27230200216,SOCIAL SERVICE LEAGUE HIGH SCHOOL & JUNIOR COLLEGE,Co-Ed,Arts,Aided,English,Remaining seats (Pure),SC,205.0,41.0,CAP-1,Mumbai
27230200216,SOCIAL SERVICE LEAGUE HIGH SCHOOL & JUNIOR COLLEGE,Co-Ed,Arts,Aided,English,Divyang (4%),SC,355.0,71.0,CAP-1,Mumbai
27230200216,SOCIAL SERVICE LEAGUE HIGH SCHOOL & JUNIOR COLLEGE,Co-Ed,Commerce,Aided,English,Women (30%),SC,235.0,47.0,CAP-1,Mumbai
27230200216,SOCIAL SERVICE LEAGUE HIGH SCHOOL & JUNIOR COLLEGE,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,249.0,49.8,CAP-1,Mumbai
27230200216,SOCIAL SERVICE LEAGUE HIGH SCHOOL & JUNIOR COLLEGE,Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,308.0,61.6,CAP-1,Mumbai
27230200226,GURU NANAK HIGHER SECONDARY SCHOOL,Co-Ed,Commerce,Aided,English,Divyang (4%),SC,352.0,70.39999999999999,CAP-1,Mumbai
27230200235,ABHYUDAYA EDUCATION SOCIETY'S HIGH SCHOOL (MARATHI) & JUNIOR COLLEGE OF COMMERCE,Co-Ed,Commerce,Aided,English,Women (30%),SC,234.0,46.800000000000004,CAP-1,Mumbai
27230200235,ABHYUDAYA EDUCATION SOCIETY'S HIGH SCHOOL (MARATHI) & JUNIOR COLLEGE OF COMMERCE,Co-Ed,Commerce,Aided,English,Remaining seats (Pure),SC,259.0,51.800000000000004,CAP-1,Mumbai
27230200248,MAHATMA PHULE TECH. HIGH SCHOOL,Co-Ed,Science,Un-Aided,English,Remaining seats (Pure),SC,279.0,55.800000000000004,CAP-1,Mumbai
27230200248,MAHATMA PHULE TECH. HIGH SCHOOL,Co-Ed,Science,Aided,English,Women (30%),SC,447.0,89.4,CAP-1,Mumbai
27230200248,MAHATMA PHULE TECH. HIGH SCHOOL,Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,366.0,73.2,CAP-1,Mumbai
27230200253,MAHATMA PHULE EDUCATION SOCIETY JR. COLLEGE OF ARTS AND COMMERCE,Co-Ed,Commerce,Self Financed,English,Women (30%),SC,262.0,52.400000000000006,CAP-1,Mumbai
27230200253,MAHATMA PHULE EDUCATION SOCIETY JR. COLLEGE OF ARTS AND COMMERCE,Co-Ed,Commerce,Self Financed,English,Remaining seats (Pure),SC,183.0,36.6,CAP-1,Mumbai
27230209214,MATUNGA LIONS PIONEER ENGLISH SCHOOL,Co-Ed,Commerce,Self Financed,English,Women (30%),SC,303.0,60.6,CAP-1,Mumbai
27230209214,MATUNGA LIONS PIONEER ENGLISH SCHOOL,Co-Ed,Science,Self Financed,English,Women (30%),SC,326.0,65.2,CAP-1,Mumbai
