UDISE,College Name,College Type,Stream,Status,Medium,Reservation,Caste,Marks,Percentage,Cap Round No,City Name
27250100102,VIDYA VIKAS HIGH SCH AVSARI BU,Co-Ed,Science,Aided,Marathi,Women (30%),SC,379,75.8,CAP-1,Pune
27250100102,VIDYA VIKAS HIGH SCH AVSARI BU,Co-Ed,Science,Aided,Marathi,Remaining seats (Pure),SC,338,67.6,CAP-1,Pune
27250100702,SHREE SHIVAJI VID. DHAMANI,Co-Ed,Science,Aided,Marathi,Women (30%),SC,356,71.2,CAP-1,Pune
27250101903,"SHRI.SANGAMESHWAR MADHYAMIK & KAI.BABURAO GENUJI DHOBALE UCCHA MADHYAMIK ARTS,COMM,SCI COLLEGE ,PARGAON",Co-Ed,Commerce,Partially Aided (20%-80%),Marathi,Women (30%),SC,206,41.2,CAP-1,Pune
27250101906,DATTATRAY WALSE PATIL HIGHER SECONDARY SCHOOL DATTATRAY NAGAR PARGAON T AWASARI BK,Co-Ed,Commerce,Self Financed,Marathi,Remaining seats (Pure),SC,225,45,CAP-1,Pune
27250102207,MAHATMA GANDHI VID. MANCHAR,Co-Ed,Commerce,Self Financed,English,Remaining seats (Pure),SC,272,54.4,CAP-1,Pune
27250102207,MAHATMA GANDHI VID. MANCHAR,Co-Ed,Commerce,Self Financed,English,Divyang (4%),SC,245,49,CAP-1,Pune
27250102207,MAHATMA GANDHI VID. MANCHAR,Co-Ed,Science,Self Financed,Marathi,Women (30%),SC,322,64.4,CAP-1,Pune
27250102207,MAHATMA GANDHI VID. MANCHAR,Co-Ed,Science,Aided,Marathi,Women (30%),SC,322,64.4,CAP-1,Pune
27250102207,MAHATMA GANDHI VID. MANCHAR,Co-Ed,Science,Aided,Marathi,Remaining seats (Pure),SC,300,60,CAP-1,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Arts,Aided,Marathi,Women (30%),SC,263,52.6,CAP-1,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Arts,Aided,Marathi,Remaining seats (Pure),SC,235,47,CAP-1,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Commerce,Aided,Marathi,Women (30%),SC,255,51,CAP-1,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Commerce,Aided,Marathi,Remaining seats (Pure),SC,199,39.8,CAP-1,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Commerce,Aided,Marathi,Divyang (4%),SC,327,65.4,CAP-1,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Science,Un-Aided,English,Remaining seats (Pure),SC,306,61.2,CAP-1,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Science,Aided,English,Women (30%),SC,267,53.4,CAP-1,Pune
27250102212,ANNASAHEB AWATE JUNIOR COLLEGE,Co-Ed,Science,Aided,English,Remaining seats (Pure),SC,300,60,CAP-1,Pune
27250102802,SHRI WAKESWER VIDYALAY AND N D PAWALE JR COLLAGE PETH,Co-Ed,Arts,Aided,Marathi,Women (30%),SC,275,55,CAP-1,Pune
27250102802,SHRI WAKESWER VIDYALAY AND N D PAWALE JR COLLAGE PETH,Co-Ed,Science,Un-Aided,English,Women (30%),SC,355,71,CAP-1,Pune
27250104104,KAMLJA DEVI VIDY KALAMB,Co-Ed,Arts,Aided,Marathi,Remaining seats (Pure),SC,281,56.2,CAP-1,Pune
27250104503,"HUTATMA BABU GENU VIDYALAY & SHRI V.G.KAPUSKAR KANISHTA MAHAVIDHYALAY ,MAHALUNGE ,PADWAL. MAHALUNGE PADWAL",Co-Ed,Science,Aided,Marathi,Remaining seats (Pure),SC,369,73.8,CAP-1,Pune
27250105003,NARSINH VIDYALAYAL RANJANI,Co-Ed,Commerce,Aided,Marathi,Women (30%),SC,209,41.8,CAP-1,Pune
27250105504,SHRI BHIRAVNATH VIDYALAY SHINGAVE,Co-Ed,Science,Aided,Marathi,Women (30%),SC,369,73.8,CAP-1,Pune
27250105704,JANATA VIDYA MANDIR GHODEGAON,Co-Ed,Commerce,Aided,Marathi,Women (30%),SC,304,60.8,CAP-1,Pune
27250105704,JANATA VIDYA MANDIR GHODEGAON,Co-Ed,Commerce,Aided,Marathi,Remaining seats (Pure),SC,286,57.2,CAP-1,Pune
27250105704,JANATA VIDYA MANDIR GHODEGAON,Co-Ed,Commerce,Aided,Marathi,Divyang (4%),SC,245,49,CAP-1,Pune
27250105704,JANATA VIDYA MANDIR GHODEGAON,Co-Ed,Science,Aided,Marathi,Women (30%),SC,275,55,CAP-1,Pune
27250105704,JANATA VIDYA MANDIR GHODEGAON,Co-Ed,Science,Aided,Marathi,Remaining seats (Pure),SC,399,79.8,CAP-1,Pune
27250107706,"DECCAN MARATHA JUNIOR COLLEGE OF COMMERCE AND SCIENCE ,LANDEWADI",Co-Ed,Science,Self Financed,English,Women (30%),SC,413,82.6,CAP-1,Pune
27250107706,"DECCAN MARATHA JUNIOR COLLEGE OF COMMERCE AND SCIENCE ,LANDEWADI",Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,346,69.2,CAP-1,Pune
27250108104,BHIMASHANKAR VIDYA MANDIR SHINOLI,Co-Ed,Arts,Aided,Marathi,Remaining seats (Pure),SC,236,47.2,CAP-1,Pune
27250110102,SHIVSHANKAR MADHYAMIK VIDYALAY AND CHINTAMANRAO MORMARE KANISHTH MAHAVIDYALAY ,Co-Ed,Arts,Partially Aided (20%-80%),Marathi,Remaining seats (Pure),SC,244,48.8,CAP-1,Pune
27250200603,SHRI SHAHAJI HIGH SCHOOL SUPE,Co-Ed,Arts,Aided,Marathi,Divyang (4%),SC,330,66,CAP-1,Pune
27250200603,SHRI SHAHAJI HIGH SCHOOL SUPE,Co-Ed,Commerce,Partially Aided (20%-80%),Marathi,Women (30%),SC,317,63.4,CAP-1,Pune
27250200603,SHRI SHAHAJI HIGH SCHOOL SUPE,Co-Ed,Commerce,Partially Aided (20%-80%),Marathi,Remaining seats (Pure),SC,271,54.2,CAP-1,Pune
27250200603,SHRI SHAHAJI HIGH SCHOOL SUPE,Co-Ed,Science,Partially Aided (20%-80%),Marathi,Women (30%),SC,264,52.8,CAP-1,Pune
27250200603,SHRI SHAHAJI HIGH SCHOOL SUPE,Co-Ed,Science,Partially Aided (20%-80%),Marathi,Remaining seats (Pure),SC,300,60,CAP-1,Pune
27250200605,VIDYA PRATISHTHANS SUPE ENGLISH MEDIUM SCHOOL,Co-Ed,Science,Self Financed,English,Women (30%),SC,316,63.2,CAP-1,Pune
27250200605,VIDYA PRATISHTHANS SUPE ENGLISH MEDIUM SCHOOL,Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,368,73.6,CAP-1,Pune
27250200605,VIDYA PRATISHTHANS SUPE ENGLISH MEDIUM SCHOOL,Co-Ed,Science,Self Financed,English,Divyang (4%),SC,324,64.8,CAP-1,Pune
27250201206,MAYURESHWAR SECONDARY AND HIGHER SECAONDARY SCHOOL MORGAON,Co-Ed,Arts,Aided,Marathi,Women (30%),SC,215,43,CAP-1,Pune
27250201206,MAYURESHWAR SECONDARY AND HIGHER SECAONDARY SCHOOL MORGAON,Co-Ed,Arts,Aided,Marathi,Remaining seats (Pure),SC,212,42.4,CAP-1,Pune
27250201206,MAYURESHWAR SECONDARY AND HIGHER SECAONDARY SCHOOL MORGAON,Co-Ed,Science,Un-Aided,Marathi,Women (30%),SC,300,60,CAP-1,Pune
27250201802,VASTIGRUH VIDYALAY KARHATI,Co-Ed,Commerce,Self Financed,Marathi,Women (30%),SC,200,40,CAP-1,Pune
27250201802,VASTIGRUH VIDYALAY KARHATI,Co-Ed,Science,Self Financed,Marathi,Women (30%),SC,349,69.8,CAP-1,Pune
27250201802,VASTIGRUH VIDYALAY KARHATI,Co-Ed,Science,Self Financed,Marathi,Remaining seats (Pure),SC,313,62.6,CAP-1,Pune
27250203303,AJITDADA ENGLISH MEDIUM SCHOOL KATPHAL,Co-Ed,Science,Self Financed,English,Women (30%),SC,433,86.6,CAP-1,Pune
27250203303,AJITDADA ENGLISH MEDIUM SCHOOL KATPHAL,Co-Ed,Science,Self Financed,English,Trf./Ex.Sr./Ser/Sports (5%),SC,318,63.6,CAP-1,Pune
27250203303,AJITDADA ENGLISH MEDIUM SCHOOL KATPHAL,Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,365,73,CAP-1,Pune
27250203303,AJITDADA ENGLISH MEDIUM SCHOOL KATPHAL,Co-Ed,Science,Self Financed,English,Divyang (4%),SC,412,82.4,CAP-1,Pune
27250203806,CHAITANYA'S INTERNATIONAL SCHOOL,Co-Ed,Science,Self Financed,English,Women (30%),SC,378,75.6,CAP-1,Pune
27250203806,CHAITANYA'S INTERNATIONAL SCHOOL,Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,307,61.4,CAP-1,Pune
27250203806,CHAITANYA'S INTERNATIONAL SCHOOL,Co-Ed,Science,Self Financed,English,Divyang (4%),SC,431,86.2,CAP-1,Pune
27250203902,Abhinav international school and junior college,Co-Ed,Science,Self Financed,English,Women (30%),SC,406,81.2,CAP-1,Pune
27250203902,Abhinav international school and junior college,Co-Ed,Science,Self Financed,English,Remaining seats (Pure),SC,432,86.4,CAP-1,Pune
27250204604,CREATIVE INTERNATIONAL SCHOOL  AND JR COLLEGE,Co-Ed,Science,Self Financed,English,Women (30%),SC,343,68.6,CAP-1,Pune
