institute_code,institute_name,branch_code,branch,course_name,status,category,rank,score,gender,quota,category1,year,cap_round
1002,"Government College of Engineering, Amravati",100220010,ME/M.Tech,Geo Technical Engineering [Non Sponsored],Government Autonomous,GOPENS,2056,11.36,G,S,OPEN,2025,1
1002,"Government College of Engineering, Amravati",100220010,ME/M.Tech,Geo Technical Engineering [Non Sponsored],Government Autonomous,GSCS,2328,10.57,G,S,SC,2025,1
1002,"Government College of Engineering, Amravati",100220010,ME/M.Tech,Geo Technical Engineering [Non Sponsored],Government Autonomous,GOBCS,2666,9.55,G,S,OBC,2025,1
1002,"Government College of Engineering, Amravati",100220110,ME/M.Tech,Environmental Engineering [Non Sponsored],Government Autonomous,GOPENS,1905,12.05,G,S,OPEN,2025,1
1002,"Government College of Engineering, Amravati",100220110,ME/M.Tech,Environmental Engineering [Non Sponsored],Government Autonomous,GSCS,2319,10.67,G,S,SC,2025,1
1002,"Government College of Engineering, Amravati",100220110,ME/M.Tech,Environmental Engineering [Non Sponsored],Government Autonomous,GNT3S,3807,6.14,G,S,NT3,2025,1
1002,"Government College of Engineering, Amravati",100220110,ME/M.Tech,Environmental Engineering [Non Sponsored],Government Autonomous,GOBCS,4632,3.43,G,S,OBC,2025,1
1002,"Government College of Engineering, Amravati",100221210,ME/M.Tech,Structural Engineering [Non Sponsored],Government Autonomous,GOPENS,590,21.72,G,S,OPEN,2025,1
1002,"Government College of Engineering, Amravati",100221210,ME/M.Tech,Structural Engineering [Non Sponsored],Government Autonomous,GSCS,1229,15.51,G,S,SC,2025,1
1002,"Government College of Engineering, Amravati",100221210,ME/M.Tech,Structural Engineering [Non Sponsored],Government Autonomous,GSTS,817,18.61,G,S,ST,2025,1
1002,"Government College of Engineering, Amravati",100221210,ME/M.Tech,Structural Engineering [Non Sponsored],Government Autonomous,GVJS,2067,11.36,G,S,VJ,2025,1
1002,"Government College of Engineering, Amravati",100221210,ME/M.Tech,Structural Engineering [Non Sponsored],Government Autonomous,GNT1S,3435,7.16,G,S,NT1,2025,1
1002,"Government College of Engineering, Amravati",100221210,ME/M.Tech,Structural Engineering [Non Sponsored],Government Autonomous,GOBCS,1826,12.4,G,S,OBC,2025,1
1002,"Government College of Engineering, Amravati",100224210,ME/M.Tech,Computer Science and Engineering [Non Sponsored],Government Autonomous,GOPENS,522,23.65,G,S,OPEN,2025,1
1002,"Government College of Engineering, Amravati",100224210,ME/M.Tech,Computer Science and Engineering [Non Sponsored],Government Autonomous,GSCS,1432,14.29,G,S,SC,2025,1
1002,"Government College of Engineering, Amravati",100224210,ME/M.Tech,Computer Science and Engineering [Non Sponsored],Government Autonomous,GNT1S,2676,9.42,G,S,NT1,2025,1
1002,"Government College of Engineering, Amravati",100224210,ME/M.Tech,Computer Science and Engineering [Non Sponsored],Government Autonomous,GOBCS,1887,12.19,G,S,OBC,2025,1
1002,"Government College of Engineering, Amravati",100229210,ME/M.Tech,Electrical Power System [Non Sponsored],Government Autonomous,GOPENS,3372,7.33,G,S,OPEN,2025,1
1002,"Government College of Engineering, Amravati",100229210,ME/M.Tech,Electrical Power System [Non Sponsored],Government Autonomous,GSCS,4753,3.0,G,S,SC,2025,1
1002,"Government College of Engineering, Amravati",100229210,ME/M.Tech,Electrical Power System [Non Sponsored],Government Autonomous,GSTS,4480,4.0,G,S,ST,2025,1
1002,"Government College of Engineering, Amravati",100229210,ME/M.Tech,Electrical Power System [Non Sponsored],Government Autonomous,GOBCS,4652,3.33,G,S,OBC,2025,1
1002,"Government College of Engineering, Amravati",100239210,ME/M.Tech,Electronic System and Communication [Non Sponsored],Government Autonomous,GOPENS,3952,5.67,G,S,OPEN,2025,1
1002,"Government College of Engineering, Amravati",100260610,ME/M.Tech,Production Engineering [Non Sponsored],Government Autonomous,GOPENS,4352,4.33,G,S,OPEN,2025,1
1005,"Sant Gadge Baba Amravati University,Amravati",100261010,ME/M.Tech,Thermal Engineering [Non Sponsored],Government Autonomous,GOPENS,4944,2.33,G,S,OPEN,2025,1
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",100591510,ME/M.Tech,Computer Science and Information Technology [Non Sponsored],University Department,GOPENS,3122,8.12,G,S,OPEN,2025,1
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",100591510,ME/M.Tech,Computer Science and Information Technology [Non Sponsored],University Department,GSCS,4395,4.22,G,S,SC,2025,1
