institute_code,institute_name,branch_code,branch,course_name,category,rank,score,gender,quota,category1,year,cap_round
1002,"Government College of Engineering, Amravati",0100220110,ME/M.Tech,Environmental Engineering,GOPENS,4247,4.77,G,S,OPEN,2025,3
1002,"Government College of Engineering, Amravati",0100221210,ME/M.Tech,Structural Engineering,GNT1S,3327,7.57,G,S,NT1,2025,3
1002,"Government College of Engineering, Amravati",0100224210,ME/M.Tech,Computer Science and Engineering,GOPENS,2357,10.39,G,S,OPEN,2025,3
1002,"Government College of Engineering, Amravati",0100224210,ME/M.Tech,Computer Science and Engineering,GSCS,4393,4.22,G,S,SC,2025,3
1002,"Government College of Engineering, Amravati",0100224210,ME/M.Tech,Computer Science and Engineering,GSTS,3139,8.1,G,S,ST,2025,3
1002,"Government College of Engineering, Amravati",0100261010,ME/M.Tech,Thermal Engineering,GOPENS,4370,4.33,G,S,OPEN,2025,3
1005,"Sant Gadge Baba Amravati University,Amravati",0100594310,ME/M.Tech,Artificial Intelligence and Data Science,GOPENS,4101,5.24,G,S,OPEN,2025,3
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110520110,ME/M.Tech,Environmental Engineering,GOPENS,4965,2.04,G,S,OPEN,2025,3
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,ME/M.Tech,Computer Science and Engineering,GOPENS,1439,14.29,G,S,OPEN,2025,3
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",0112391210,ME/M.Tech,Transportation Engineering and Management,GSCS,5234,0.68,G,S,SC,2025,3
1128,"Prof Ram Meghe College of Engineering  and Management, Badnera",0112891010,ME/M.Tech,Construction Engg and Management,GOPENS,4137,5.15,G,S,OPEN,2025,3
2008,"Government College of Engineering,  Chhatrapati Sambhajinagar",0200821210,ME/M.Tech,Structural Engineering,GOPENS,1180,15.85,G,S,OPEN,2025,3
2008,"Government College of Engineering,  Chhatrapati Sambhajinagar",0200821210,ME/M.Tech,Structural Engineering,GNT3S,3545,6.88,G,S,NT3,2025,3
2008,"Government College of Engineering,  Chhatrapati Sambhajinagar",0200824210,ME/M.Tech,Computer Science and Engineering,GOPENS,956,17.51,G,S,OPEN,2025,3
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",0202005010,ME/M.Tech,Artificial Intelligence,GOPENS,3126,8.12,G,S,OPEN,2025,3
