Sr. No,All India Merit,Choice Code,Institute Name,Course Name,Exam Type,Type,Seat Type,rank,percentile
1,91 (47.8797386),3176,"Thakur College of Engineering and Technology,",BCA,CUET UG,AI,AI to AI,91.0,47.8797386
2,335 (97.0614965),3563,PILLAI COLLEGE OF ARTS COMMERCE & SCIENCE,BCA,MAH-CET,AI,AI to AI,335.0,97.0614965
3,349 (96.8922338),3593,DTSS COLLEGE OF COMMERCE,BCA,MAH-CET,AI,AI to AI,349.0,96.8922338
4,714 (93.6988791),3580,B K BIRALA COLLEDGE KALAYAN,BCA,MAH-CET,AI,AI to AI,714.0,93.6988791
5,966 (91.7452213),3576,GURU NANAK KHALSA COLLEGE OF ARTS SCIENCE,BCA,MAH-CET,AI,AI to AI,966.0,91.7452213
6,1288 (89.5607604),16187,ABASAHEB GARWARE COLLEGE,BCA,MAH-CET,AI,AI to AI,1288.0,89.5607604
7,1521 (87.5290804),3651,KANDIVLI EDUCATION SOCIETY'S B K SHROFF,BCA,MAH-CET,AI,AI to AI,1521.0,87.5290804
8,1618 (87.0498929),6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu",BCA,MAH-CET,AI,AI to AI,1618.0,87.0498929
9,1831 (86.1852634),16226,MODERN COLLEGE OF ARTS SCIENCE AND,BCA,MAH-CET,AI,AI to AI,1831.0,86.1852634
10,2166 (83.6473796),1102,Vidya Bharati Mahavidyalaya Department of,BCA,MAH-CET,AI,AI to AI,2166.0,83.6473796
11,2253 (83.4823068),16300,VISHWAKARMA COLLEGE OF ARTS COMMERCE AND,BCA,MAH-CET,AI,AI to AI,2253.0,83.4823068
12,2515 (81.8415575),4157,"V. M. Vasant Commerce, J.M. Thakar Arts & J.J. Patel",BCA,MAH-CET,AI,AI to AI,2515.0,81.8415575
13,2547 (81.8415575),6822,Pimpri Chinchwad Education Trust's Pimpri,BCA,MAH-CET,AI,AI to AI,2547.0,81.8415575
14,2681 (80.2309739),5150,"R.C. Patel Educational Trust, Institute of",BCA,MAH-CET,AI,AI to AI,2681.0,80.2309739
15,3338 (76.7784988),2691,NUTAN MAHAVIDYALAYA SELU,BCA,MAH-CET,AI,AI to AI,3338.0,76.7784988
16,3813 (74.1896395),3223,Mahatma Education Society's Pillai HOC College of,BCA,MAH-CET,AI,AI to AI,3813.0,74.1896395
17,4164 (72.5537716),5120,"MET's Institute of Management, Adgaon, Nashik",BCA,MAH-CET,AI,AI to AI,4164.0,72.5537716
18,4287 (71.3733962),16222,MODERN COLLEGE OF COMMERCE AND COMPUTER,BCA,MAH-CET,AI,AI to AI,4287.0,71.3733962
19,4773 (69.1992164),2680,MAHATMA BASWESHWAR MAHAVIDYALAYA LATUR,BCA,MAH-CET,AI,AI to AI,4773.0,69.1992164
20,4975 (68.4701606),4705,"DR AMBEDKAR COLLEGE, NAGPUR",BCA,MAH-CET,AI,AI to AI,4975.0,68.4701606
21,5011 (68.4701606),6547,"Suryadatta Educational Foundation, Suryadatta",BCA,MAH-CET,AI,AI to AI,5011.0,68.4701606
