Sr. No,All India Merit,Choice Code,Institute Name,Course Name,Exam Type,Type,Seat Type,rank,percentile
1,840 (92.8627689),6622,ISBM College Of Engineering Pune,Bachelor of Computer  Application (BCA),MAH-CET,AI,AI to AI,840.0,92.8627689
2,845 (92.8627689),3176,"Thakur College of Engineering and Technology,",BCA,MAH-CET,AI,AI to AI,845.0,92.8627689
3,1082 (91.0451378),3580,B K BIRALA COLLEDGE KALAYAN,BCA,MAH-CET,AI,AI to AI,1082.0,91.0451378
4,1180 (89.9657157),3563,PILLAI COLLEGE OF ARTS COMMERCE & SCIENCE,BCA,MAH-CET,AI,AI to AI,1180.0,89.9657157
5,2374 (82.2114511),3576,GURU NANAK KHALSA COLLEGE OF ARTS SCIENCE,BCA,MAH-CET,AI,AI to AI,2374.0,82.2114511
6,2375 (82.2114511),1102,Vidya Bharati Mahavidyalaya Department of,BCA,MAH-CET,AI,AI to AI,2375.0,82.2114511
7,2404 (82.2033348),3651,KANDIVLI EDUCATION SOCIETY'S B K SHROFF,BCA,MAH-CET,AI,AI to AI,2404.0,82.2033348
8,2539 (81.8415575),16187,ABASAHEB GARWARE COLLEGE,BCA,MAH-CET,AI,AI to AI,2539.0,81.8415575
9,2812 (80.0477532),6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu",BCA,MAH-CET,AI,AI to AI,2812.0,80.0477532
10,3736 (74.8989837),16226,MODERN COLLEGE OF ARTS SCIENCE AND,BCA,MAH-CET,AI,AI to AI,3736.0,74.8989837
11,3924 (73.6615866),16300,VISHWAKARMA COLLEGE OF ARTS COMMERCE AND,BCA,MAH-CET,AI,AI to AI,3924.0,73.6615866
12,4234 (72.2636735),3593,DTSS COLLEGE OF COMMERCE,BCA,MAH-CET,AI,AI to AI,4234.0,72.2636735
13,4600 (70.5725538),6992,Pune Cambridge Institute of Management and,BCA,MAH-CET,AI,AI to AI,4600.0,70.5725538
14,4765 (69.1992164),5150,"R.C. Patel Educational Trust, Institute of",BCA,MAH-CET,AI,AI to AI,4765.0,69.1992164
15,4793 (69.1992164),6822,Pimpri Chinchwad Education Trust's Pimpri,BCA,MAH-CET,AI,AI to AI,4793.0,69.1992164
16,5529 (65.1891760),6137,Vidya Pratishthan Institute of Information,BCA,MAH-CET,AI,AI to AI,5529.0,65.189176
17,5780 (63.9139655),16194,SNDT ARTS AND COMMERCE COLLEGE FOR WOMEN,BCA,MAH-CET,AI,AI to AI,5780.0,63.9139655
18,6245 (61.6661618),3223,Mahatma Education Society's Pillai HOC College of,BCA,MAH-CET,AI,AI to AI,6245.0,61.6661618
19,6574 (60.8577175),16302,G S PATIL COLLEGE OF MANAGEMENT AND BUSINESS,BCA,MAH-CET,AI,AI to AI,6574.0,60.8577175
20,6598 (60.8577175),6145,JSPM'S Jaywantrao Sawant College of,BCA,MAH-CET,AI,AI to AI,6598.0,60.8577175
21,6860 (59.3032414),5120,"MET's Institute of Management, Adgaon, Nashik",BCA,MAH-CET,AI,AI to AI,6860.0,59.3032414
22,7198 (57.6006252),3575,DR BHANUBEN MAHENDRA NANAVATI COLLEGE OF,BCA,MAH-CET,AI,AI to AI,7198.0,57.6006252
23,7679 (56.4912736),6143,JSPM's Jayawantrao Sawant Institute of Management,BCA,MAH-CET,AI,AI to AI,7679.0,56.4912736
24,8189 (54.1472281),16163,DR.GANPATRAO DESHMUKH MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,8189.0,54.1472281
25,8299 (52.4422252),16334,POONA COLLEGE OF ARTS SCIENCE AND COMMERCE,BCA,MAH-CET,AI,AI to AI,8299.0,52.4422252
26,8506 (51.8978817),5650,K K WAGH ARTS COMMERCE SCIENCE AND,BCA,MAH-CET,AI,AI to AI,8506.0,51.8978817
27,8664 (51.5177219),5560,R C PATEL ARTS COMMERCE AND SCIENCE COLLEGE,BCA,MAH-CET,AI,AI to AI,8664.0,51.5177219
28,8817 (51.5177219),16225,SHRI PRINCE SHIVAJI MARATHA BOARDING HOUSE'S,BCA,MAH-CET,AI,AI to AI,8817.0,51.5177219
29,8909 (50.1248320),16202,MES SENIOR COLLEGE,BCA,MAH-CET,AI,AI to AI,8909.0,50.124832
30,9461 (48.6398061),16135,DEVCHAND COLLEGE ARJUNNAGAR,BCA,MAH-CET,AI,AI to AI,9461.0,48.6398061
31,9688 (46.7552345),4152,Shri Shivaji Education Society Amravati's Science,BCA,MAH-CET,AI,AI to AI,9688.0,46.7552345
32,9971 (45.8103605),16222,MODERN COLLEGE OF COMMERCE AND COMPUTER,BCA,MAH-CET,AI,AI to AI,9971.0,45.8103605
33,10121 (45.4132258),4137,Sir Shantilal Badjate Charitable Trust's S. B. Jain,BCA,MAH-CET,AI,AI to AI,10121.0,45.4132258
34,10137 (45.4132258),3554,SMT. P. N. DOSHI WOMEN'S COLLEGE,BCA,MAH-CET,MI,MI to AI,10137.0,45.4132258
35,10294 (44.1043223),1324,SHRI SHIVAJI SCIENCE COLLEGE AMRAVATI,BCA,MAH-CET,AI,AI to AI,10294.0,44.1043223
36,10300 (44.1043223),2684,SHIVAJI MAHAVIDYALAYA UDGIR,BCA,MAH-CET,AI,AI to AI,10300.0,44.1043223
37,10682 (42.9142684),6179,"Indira College of Engineering & Management, Pune",MASTER OF COMPUTER  APPLICATIONS,MAH-CET,AI,AI to AI,10682.0,42.9142684
38,10778 (42.9142684),4739,"CITY PREMIER COLLEGE, NAGPUR",BCA,MAH-CET,AI,AI to AI,10778.0,42.9142684
39,11122 (41.4411657),6213,Chh. Shahu Institute Of Business  Edu  And Res,BCA,MAH-CET,AI,AI to AI,11122.0,41.4411657
40,11727 (38.6800539),4705,"DR AMBEDKAR COLLEGE, NAGPUR",BCA,MAH-CET,AI,AI to AI,11727.0,38.6800539
41,11786 (38.6800539),16233,MODERN COLLEGE OF ARTS SCIENCE AND,BCA,MAH-CET,AI,AI to AI,11786.0,38.6800539
42,12233 (36.2011512),3628,REENA MEHTA COLLEGE OF ARTS SCIENCE,BCA,MAH-CET,AI,AI to AI,12233.0,36.2011512
43,12667 (34.4144848),5101,Khandesh College Education Society's Institute of,BCA,MAH-CET,AI,AI to AI,12667.0,34.4144848
44,12825 (33.1027305),6211,S.A.P.D.J. Pathshala's Hirachand Nemchand College,BCA,MAH-CET,AI,AI to AI,12825.0,33.1027305
45,12836 (33.1027305),6812,Progressive Education Society's Modern Institute of,BCA,MAH-CET,AI,AI to AI,12836.0,33.1027305
46,13392 (31.6356323),3223,Mahatma Education Society's Pillai HOC College of,BCA,MAH-CET,MI,MI to AI,13392.0,31.6356323
47,13452 (31.5748339),3709,SAHYOG COLLEGE OF ARTS COMMERCE AND SCIENCE,BCA,MAH-CET,AI,AI to AI,13452.0,31.5748339
48,13664 (29.9987756),2119,Shree Sharda Bhavan Education Society's Institute of,BCA,MAH-CET,AI,AI to AI,13664.0,29.9987756
49,13819 (29.9787943),6129,Jayawant Shikshan Prasarak Mandal's Jayawant,BCA,MAH-CET,AI,AI to AI,13819.0,29.9787943
50,14032 (29.9787943),1320,G S SCIENCE ARTS AND COMMERCE COLLEGE,BCA,MAH-CET,AI,AI to AI,14032.0,29.9787943
51,14111 (29.1636930),5331,"Sandip Foundation's, Sandip Institute of Engineering",BCA,MAH-CET,AI,AI to AI,14111.0,29.163693
52,14176 (28.4355868),16308,AUDYOGIK SHIKSHAN MANDAL COLLEGE OF,BCA,MAH-CET,AI,AI to AI,14176.0,28.4355868
53,14201 (28.4355868),3615,BAKLIWAL FOUNDATION,BCA,MAH-CET,MI,MI to AI,14201.0,28.4355868
54,14263 (27.3539856),5578,"HR Patel Arts and Science College, Shirpur",BCA,MAH-CET,AI,AI to AI,14263.0,27.3539856
55,14494 (27.0816968),16125,"Vivekanand College, Kolhapur",BCA,MAH-CET,AI,AI to AI,14494.0,27.0816968
56,14537 (26.6888822),5594,SHAHADA TALUKA EDUCATIONAL SOCIETY AND,BCA,MAH-CET,AI,AI to AI,14537.0,26.6888822
57,14564 (26.6888822),16287,SINHGAD  COLLEGE OF SCIENCE,BCA,MAH-CET,AI,AI to AI,14564.0,26.6888822
58,14623 (26.6888822),1327,BRIJLAL BIYANI SCIENCE COLLEGE,BCA,MAH-CET,AI,AI to AI,14623.0,26.6888822
59,14786 (26.6787777),16252,PROGRESSIVE EDUCATION SOCIETY'S  MODERN,BCA,MAH-CET,AI,AI to AI,14786.0,26.6787777
60,15292 (24.0701620),16264,HARIBHAI V DESAI COLLEGE OF ARTS SCIENCE AND,BCA,MAH-CET,AI,AI to AI,15292.0,24.070162
61,15727 (22.0463245),1113,"Sadhana Shikshan Mandal, Saraswati College,",BCA,MAH-CET,AI,AI to AI,15727.0,22.0463245
62,15855 (21.7460512),6283,Annasaheb Dange College of Engineering and,BCA,MAH-CET,AI,AI to AI,15855.0,21.7460512
63,16011 (20.5679302),6737,Prin. K.P. Mangalvedhekar Institute Of Management,BCA,MAH-CET,AI,AI to AI,16011.0,20.5679302
64,16503 (19.2543162),16135,DEVCHAND COLLEGE ARJUNNAGAR,BCA,MAH-CET,MI,MI to AI,16503.0,19.2543162
65,16524 (19.2543162),16150,SANGAMESHWAR COLLEGE SOLAPUR,BCA,MAH-CET,AI,AI to AI,16524.0,19.2543162
66,16598 (18.4239165),4138,"Jaidev Education Society, J D College of Engineering",BCA,MAH-CET,AI,AI to AI,16598.0,18.4239165
67,16662 (18.0083366),16327,PROF RAMKRISHNA MORE ARTS COMMERCE AND,BCA,MAH-CET,AI,AI to AI,16662.0,18.0083366
68,16886 (17.2432596),16253,"SVPM's COLLEGE OF COMMERCE, SCIENCE AND",BCA,MAH-CET,AI,AI to AI,16886.0,17.2432596
69,16935 (17.2432596),1111,"P.G. Department  of Computer Science & Technology,",BCA,MAH-CET,AI,AI to AI,16935.0,17.2432596
70,16945 (17.2432596),2668,VASANTRAO NAIK MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,16945.0,17.2432596
71,17024 (16.7625811),4147,"K.D.K. College of Engineering, Nagpur",BCA,MAH-CET,AI,AI to AI,17024.0,16.7625811
72,17146 (16.3945970),1318,SMT. KESHARBAI LAHOTI MAHAVIDYALAYA,BCA,MAH-CET,AI,AI to AI,17146.0,16.394597
73,17160 (16.3945970),16290,SINHGAD COLLEGE OF COMMERCE,BCA,MAH-CET,AI,AI to AI,17160.0,16.394597
74,17402 (14.5107543),6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology,",BCA,MAH-CET,AI,AI to AI,17402.0,14.5107543
75,17487 (14.5107543),6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai",BCA,MAH-CET,AI,AI to AI,17487.0,14.5107543
76,18384 (10.4505939),5620,KRT ARTS BH COMMERCE AND AM SCIENCE COLLEGE,BCA,MAH-CET,AI,AI to AI,18384.0,10.4505939
