sr_no,merit_no,score,choice_code,institute_name,course_name,type,seat_type
1,25,99.99,300110210,"Jamnalal Bajaj Institute of Management Studies, Mumbai",M. M. S.,AI to AI,AI
2,71,99.96,300210210,"Sydenham Institute of Management Studies & Research & Entrepreneurship Education(SIMSREE), Mumbai",M. M. S.,AI to AI,AI
3,138,99.92,310710210,"Prin. L. N. Welingkar Institute of Management Development & Research, Mumbai",M. M. S.,AI to AI,AI
4,265,99.82,600110110,"Department of Management Sciences (PUMBA), University of Pune",M. B. A.,AI to AI,AI
5,279,99.82,310910210,"S.I.E.S. College of Management Studies, Mumbai",M. M. S.,AI to AI,AI
6,318,99.8,600610110,COEP Technological University,M. B. A.,AI to AI,AI
7,455,99.68,600664010,COEP Technological University,MBA (Business Analytics),AI to AI,AI
8,496,99.64,310210210,"Chetana's Ramprasad Khandelwal Institute of Management & Research, Mumbai",M. M. S.,AI to AI,AI
9,708,99.4,310610210,"MET's Institute of Management, Mumbai",M. M. S.,AI to AI,AI
10,779,99.32,113010110,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",M. B. A.,AI to AI,AI
11,874,99.24,617910110,"Indira College of Engineering & Management, Pune",M. B. A.,AI to AI,AI
12,1067,98.98,310410210,"Lala Lajpatrai Institute of Management, Mumbai",M. M. S.,AI to AI,AI
13,1370,98.51,311010210,"Vivekanand Education Society's Institute of Management Studies & Research, Mumbai",M. M. S.,AI to AI,AI
14,1496,98.35,310810210,"Rizvi Institute of Management Studies & Research, Mumbai",M. M. S.,AI to AI,AI
15,1620,98.13,311810210,"Zagdu Singh Chartitable Trust's Thakur Institute of Management Studies & Research, Mumbai",M. M. S.,AI to AI,AI
16,2321,96.94,311910210,"St. Francis Institute of Management & Research, Mumbai",M. M. S.,AI to AI,AI
17,2345,96.91,610310110,"Shree C. E. Society's Indira Institute of Management, Pune",M. B. A.,AI to AI,AI
18,2379,96.88,300310210,"Alkesh Dinesh Modi Institute for Financial & Management Studies, Mumbai",M. M. S.,AI to AI,AI
20,3173,95.5,501510110,"Savitribai Phule Pune University Sub Centre, Nashik",M. B. A.,AI to AI,AI
21,3563,94.8,646010110,"S.C.E.S. Indira School Of Business Studies, Tathwade",M. B. A.,AI to AI,AI
22,3978,93.97,697610110,Indira Global School of Business,M. B. A.,AI to AI,AI
