institute_code,institute_name,branch_code,course_name,status,university,category,rank,percentile,gender,quota,category_1,branch,year,cap_round
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GOPENH,12677,75.4855094,G,H,GOPEN,MBA,2023,3
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GSCH,19311,63.1015853,G,H,GSC,MBA,2023,3
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GSTH,33172,34.8195097,G,H,GST,MBA,2023,3
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GNTAH,16494,68.2120924,G,H,GNTA,MBA,2023,3
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GOBCH,15911,69.3119667,G,H,GOBC,MBA,2023,3
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GNTDH,40081,18.2962354,G,H,GNTD,MBA,2023,3
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GOPENO,9289,81.7928243,G,O,GOPEN,MBA,2023,3
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GSCO,10055,80.4152973,G,O,GSC,MBA,2023,3
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GOBCO,12224,76.590977,G,O,GOBC,MBA,2023,3
1005,"Sant Gadge Baba Amravati University,Amravati",100510110,M. B. A.,University Department,Sant Gadge Baba Amravati University,GNTAO,21868,58.2559283,G,O,GNTA,MBA,2023,3
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOPENH,11017,78.3180493,G,H,GOPEN,MBA,2023,3
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GSCH,20364,61.0060831,G,H,GSC,MBA,2023,3
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOBCH,12826,74.8151386,G,H,GOBC,MBA,2023,3
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOPENO,19389,62.8035441,G,O,GOPEN,MBA,2023,3
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GOBCO,35308,30.300147,G,O,GOBC,MBA,2023,3
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GSCO,22006,58.2559283,G,O,GSC,MBA,2023,3
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",110110110,M. B. A.,Un-Aided,Sant Gadge Baba Amravati University,GNTBO,32671,35.8498614,G,O,GNTB,MBA,2023,3
