institute code,institute name,branch code,course name,status,university,category,rank,percentile,gender,quota,category(1),branch,year,cap round
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOPENH,8120,74.782248,G,H,OPEN,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSCH,19682,31.6629561,G,H,SC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GNTBH,18929,34.5198145,G,H,NTB,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOBCH,9204,71.1549338,G,H,OBC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GNTDH,9350,71.1549338,G,H,NTD,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSEBCH,9326,71.1549338,G,H,SEBC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOPENO,19873,29.9046039,G,O,OPEN,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GOBCO,22077,21.0059952,G,O,OBC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSTO,23061,15.5994113,G,O,ST,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSEBCO,24614,5.9311489,G,O,SEBC,MCA,2025,4
'1005,"Sant Gadge Baba Amravati University,Amravati",'0100524110,Master in Computer Application,University Department,Sant Gadge Baba Amravati University,GSCO,24257,7.9446476,G,O,SC,MCA,2025,4
'1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",'0110224110,Master in Computer Application,Un-Aided-Linguistic Minority - Hindi,Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management,GOPENH,7837,76.9216256,G,H,OPEN,MCA,2025,4
'1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",'0110224110,Master in Computer Application,Un-Aided-Linguistic Minority - Hindi,Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management,GOPENO,23181,13.5402134,G,O,OPEN,MCA,2025,4
'1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",'0110224110,Master in Computer Application,Un-Aided-Linguistic Minority - Hindi,Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management,GOPENO,11811,63.1574978,G,O,OPEN,MCA,2025,4
'1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",'0110224110,Master in Computer Application,Un-Aided-Linguistic Minority - Hindi,Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management,MI-MH,10819,65.8578922,M,H,MI,MCA,2025,4
'1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",'0110524110,Master in Computer Application,Un-Aided-Autonomous,Prof. Ram Meghe Institute of Technology & Research,GNTCH,25231,2.0662871,G,H,NTC,MCA,2025,4
