institute_code,institute_name,branch_code,course_name,status,admission_level,stage,raw_category_code,seat_type,gender,category,quota,rank,percentile
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,TGOPENH,Technical,General,OPEN,Home District,117322,60
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,TGOPENH,Technical,General,OPEN,Home District,120944,57.8
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,TGOBCH,Technical,General,OBC,Home District,52175,78.6
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,TGOPENO,Technical,General,OPEN,Other than Home District,33951,82.8
1006,"Government Polytechnic, Murtijapur",100619110,Civil Engineering,Government,Post-SSC Diploma,Stage-I,TGOPENO,Technical,General,OPEN,Other than Home District,65427,75.2
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,TGSTH,Technical,General,ST,Home District,53403,78.2
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,TGOPENO,Technical,General,OPEN,Other than Home District,13190,88.6
1006,"Government Polytechnic, Murtijapur",100624510,Computer Engineering,Government,Post-SSC Diploma,Stage-I,TGSEBCO,Technical,General,SEBC,Other than Home District,3776,92.6
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,TGOPENH,Technical,General,OPEN,Home District,49628,79.2
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,TGOPENH,Technical,General,OPEN,Home District,59730,76.6
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,NGNTDH,Non-Technical,General,NTD,Home District,72471,73.4
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,TGSCH,Technical,General,SC,Home District,20939,86.2
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,TGSEBCH,Technical,General,SEBC,Home District,11116,89.4
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,TGOPENO,Technical,General,OPEN,Other than Home District,18908,86.8
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,TGOPENO,Technical,General,OPEN,Other than Home District,20199,86.4
1006,"Government Polytechnic, Murtijapur",100624610,Information Technology,Government,Post-SSC Diploma,Stage-I,UNKNOWN,Non-Technical,General,UNKNOWN,Unknown,15365,88
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,NGSTH,Non-Technical,General,ST,Home District,81819,71
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,TGSCH,Technical,General,SC,Home District,87765,69.4
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,UNKNOWN,Non-Technical,General,UNKNOWN,Unknown,64984,75.4
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,TLSEBCH,Technical,Ladies,SEBC,Home District,67495,74.8
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,NGOPENO,Non-Technical,General,OPEN,Other than Home District,74409,73
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,TGOPENO,Technical,General,OPEN,Other than Home District,40900,81.2
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,TGOPENO,Technical,General,OPEN,Other than Home District,46321,80
1006,"Government Polytechnic, Murtijapur",100629310,Electrical Engineering,Government,Post-SSC Diploma,Stage-I,UNKNOWN,Non-Technical,General,UNKNOWN,Unknown,38694,81.6
1006,"Government Polytechnic, Murtijapur",100661210,Mechanical Engineering,Government,Post-SSC Diploma,Stage-I,TGOPENH,Technical,General,OPEN,Home District,95609,67.2
